species,leaf,branch,stem,coarseRoot,fineRoot,seed,bark
PiAb,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AbAl,0.5,0.5,0.5,0.5,0.5,0.5,0.5
LaDe,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PiSy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PiNi,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PiCe,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PiSt,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PsMe,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Coni,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PicX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AbiX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
LarX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PinX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PiMu,0.5,0.5,0.5,0.5,0.5,0.5,0.5
TaBa,0.5,0.5,0.5,0.5,0.5,0.5,0.5
FaSy,0.5,0.5,0.5,0.5,0.5,0.5,0.5
QueX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CaBe,0.5,0.5,0.5,0.5,0.5,0.5,0.5
FraX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AceX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
UlmX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CaSa,0.5,0.5,0.5,0.5,0.5,0.5,0.5
RoPs,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SorX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PruX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PrAv,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SoTo,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SoAu,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BetX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AlGl,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AlIn,0.5,0.5,0.5,0.5,0.5,0.5,0.5
TilX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PoTr,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PoAl,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PoNi,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PopX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
SalX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BroX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BrHX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
JuRe,0.5,0.5,0.5,0.5,0.5,0.5,0.5
JuNi,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OstX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MalX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PyrX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BrSX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BusX,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AlVi,0.5,0.5,0.5,0.5,0.5,0.5,0.5
