species,leaf,branch,stem,coarseRoot,fineRoot,seed,bark
PiAb,0.2,0.03,0,0.03,1,1,0.07
AbAl,0.2,0.03,0,0.03,1,1,0.07
LaDe,1,0.03,0,0.03,1,1,0.07
PiSy,0.3,0.03,0,0.03,1,1,0.07
PiNi,0.3,0.03,0,0.03,1,1,0.07
PiCe,0.2,0.03,0,0.03,1,1,0.07
PiSt,0.2,0.03,0,0.03,1,1,0.07
PsMe,0.2,0.03,0,0.03,1,1,0.07
Coni,0.2,0.03,0,0.03,1,1,0.07
PicX,0.2,0.03,0,0.03,1,1,0.07
AbiX,0.2,0.03,0,0.03,1,1,0.07
LarX,1,0.03,0,0.03,1,1,0.07
PinX,0.3,0.03,0,0.03,1,1,0.07
PiMu,0.3,0.03,0,0.03,1,1,0.07
TaBa,0.2,0.03,0,0.03,1,1,0.07
FaSy,1,0.03,0,0.03,1,1,0.07
QueX,1,0.03,0,0.03,1,1,0.07
CaBe,1,0.03,0,0.03,1,1,0.07
FraX,1,0.03,0,0.03,1,1,0.07
AceX,1,0.03,0,0.03,1,1,0.07
UlmX,1,0.03,0,0.03,1,1,0.07
CaSa,1,0.03,0,0.03,1,1,0.07
RoPs,1,0.03,0,0.03,1,1,0.07
SorX,1,0.03,0,0.03,1,1,0.07
PruX,1,0.03,0,0.03,1,1,0.07
PrAv,1,0.03,0,0.03,1,1,0.07
SoTo,1,0.03,0,0.03,1,1,0.07
SoAu,1,0.03,0,0.03,1,1,0.07
BetX,1,0.03,0,0.03,1,1,0.07
AlGl,1,0.03,0,0.03,1,1,0.07
AlIn,1,0.03,0,0.03,1,1,0.07
TilX,1,0.03,0,0.03,1,1,0.07
PoTr,1,0.03,0,0.03,1,1,0.07
PoAl,1,0.03,0,0.03,1,1,0.07
PoNi,1,0.03,0,0.03,1,1,0.07
PopX,1,0.03,0,0.03,1,1,0.07
SalX,1,0.03,0,0.03,1,1,0.07
BroX,1,0.03,0,0.03,1,1,0.07
BrHX,1,0.03,0,0.03,1,1,0.07
JuRe,1,0.03,0,0.03,1,1,0.07
JuNi,1,0.03,0,0.03,1,1,0.07
OstX,1,0.03,0,0.03,1,1,0.07
MalX,1,0.03,0,0.03,1,1,0.07
PyrX,1,0.03,0,0.03,1,1,0.07
BrSX,1,0.03,0,0.03,1,1,0.07
BusX,1,0.03,0,0.03,1,1,0.07
AlVi,1,0.03,0,0.03,1,1,0.07
